DATE,AHETPI
1997-03-01,12.37
1997-04-01,12.39
1997-05-01,12.43
1997-06-01,12.46
1997-07-01,12.50
1997-08-01,12.57
1997-09-01,12.60
1997-10-01,12.67
1997-11-01,12.72
1997-12-01,12.75
1998-01-01,12.79
1998-02-01,12.84
1998-03-01,12.88
1998-04-01,12.92
1998-05-01,12.97
1998-06-01,12.99
1998-07-01,13.01
1998-08-01,13.08
1998-09-01,13.11
1998-10-01,13.15
1998-11-01,13.17
1998-12-01,13.21
1999-01-01,13.27
1999-02-01,13.30
1999-03-01,13.33
1999-04-01,13.38
1999-05-01,13.43
1999-06-01,13.47
1999-07-01,13.52
1999-08-01,13.54
1999-09-01,13.61
1999-10-01,13.64
1999-11-01,13.66
1999-12-01,13.70
2000-01-01,13.75
2000-02-01,13.80
2000-03-01,13.84
2000-04-01,13.90
2000-05-01,13.94
2000-06-01,13.98
2000-07-01,14.03
2000-08-01,14.07
2000-09-01,14.13
2000-10-01,14.18
2000-11-01,14.23
2000-12-01,14.28
2001-01-01,14.29
2001-02-01,14.36
2001-03-01,14.42
2001-04-01,14.45
2001-05-01,14.50
2001-06-01,14.55
2001-07-01,14.55
2001-08-01,14.60
2001-09-01,14.64
2001-10-01,14.66
2001-11-01,14.72
2001-12-01,14.75
2002-01-01,14.76
2002-02-01,14.79
2002-03-01,14.82
2002-04-01,14.84
2002-05-01,14.88
2002-06-01,14.94
2002-07-01,14.98
2002-08-01,15.02
2002-09-01,15.06
2002-10-01,15.12
2002-11-01,15.15
2002-12-01,15.21
2003-01-01,15.22
2003-02-01,15.29
2003-03-01,15.29
2003-04-01,15.27
2003-05-01,15.33
2003-06-01,15.36
2003-07-01,15.40
2003-08-01,15.42
2003-09-01,15.41
2003-10-01,15.42
2003-11-01,15.47
2003-12-01,15.47
2004-01-01,15.50
2004-02-01,15.54
2004-03-01,15.56
2004-04-01,15.59
2004-05-01,15.64
2004-06-01,15.67
2004-07-01,15.70
2004-08-01,15.74
2004-09-01,15.77
2004-10-01,15.81
2004-11-01,15.84
2004-12-01,15.87
2005-01-01,15.90
2005-02-01,15.93
2005-03-01,15.97
2005-04-01,16.01
2005-05-01,16.04
2005-06-01,16.08
2005-07-01,16.15
2005-08-01,16.17
2005-09-01,16.19
2005-10-01,16.29
2005-11-01,16.30
2005-12-01,16.36
2006-01-01,16.42
2006-02-01,16.48
2006-03-01,16.54
2006-04-01,16.64
2006-05-01,16.65
2006-06-01,16.72
2006-07-01,16.78
2006-08-01,16.83
2006-09-01,16.87
2006-10-01,16.93
2006-11-01,16.98
2006-12-01,17.05
2007-01-01,17.09
2007-02-01,17.15
2007-03-01,17.22
2007-04-01,17.28
2007-05-01,17.33
2007-06-01,17.41
2007-07-01,17.46
2007-08-01,17.50
2007-09-01,17.56
2007-10-01,17.57
2007-11-01,17.64
2007-12-01,17.69
2008-01-01,17.74
2008-02-01,17.80
2008-03-01,17.87
2008-04-01,17.91
2008-05-01,17.98
2008-06-01,18.04
2008-07-01,18.11
2008-08-01,18.18
2008-09-01,18.21
2008-10-01,18.26
2008-11-01,18.31
2008-12-01,18.38
2009-01-01,18.40
2009-02-01,18.45
2009-03-01,18.49
2009-04-01,18.51
2009-05-01,18.53
2009-06-01,18.56
2009-07-01,18.61
2009-08-01,18.66
2009-09-01,18.71
2009-10-01,18.75
2009-11-01,18.80
2009-12-01,18.84
2010-01-01,18.89
2010-02-01,18.91
2010-03-01,18.92
2010-04-01,18.95
2010-05-01,19.00
2010-06-01,19.03
2010-07-01,19.06
2010-08-01,19.10
2010-09-01,19.12
2010-10-01,19.22
2010-11-01,19.22
2010-12-01,19.22
2011-01-01,19.30
2011-02-01,19.31
2011-03-01,19.31
2011-04-01,19.36
2011-05-01,19.40
2011-06-01,19.42
2011-07-01,19.49
2011-08-01,19.49
2011-09-01,19.51
2011-10-01,19.56
2011-11-01,19.56
2011-12-01,19.57
2012-01-01,19.56
2012-02-01,19.59
2012-03-01,19.65
2012-04-01,19.68
2012-05-01,19.68
2012-06-01,19.72
2012-07-01,19.75
2012-08-01,19.74
2012-09-01,19.78
2012-10-01,19.81
2012-11-01,19.85
2012-12-01,19.90
2013-01-01,19.94
2013-02-01,19.99
2013-03-01,20.02
2013-04-01,20.04
2013-05-01,20.06
2013-06-01,20.13
2013-07-01,20.14
2013-08-01,20.18
2013-09-01,20.22
2013-10-01,20.26
2013-11-01,20.31
2013-12-01,20.35
2014-01-01,20.40
2014-02-01,20.50
2014-03-01,20.49
2014-04-01,20.52
2014-05-01,20.55
2014-06-01,20.59
2014-07-01,20.63
2014-08-01,20.67
2014-09-01,20.68
2014-10-01,20.71
2014-11-01,20.76
2014-12-01,20.73
2015-01-01,20.81
2015-02-01,20.83
2015-03-01,20.89
2015-04-01,20.93
2015-05-01,20.99
2015-06-01,21.00
2015-07-01,21.05
2015-08-01,21.11
2015-09-01,21.12
2015-10-01,21.21
2015-11-01,21.23
2015-12-01,21.26
2016-01-01,21.33
2016-02-01,21.35
2016-03-01,21.40
2016-04-01,21.46
2016-05-01,21.48
2016-06-01,21.52
2016-07-01,21.59
2016-08-01,21.62
2016-09-01,21.68
2016-10-01,21.72
